row,cluster
0,10
1,7
2,1
3,3
4,2
5,10
6,5
7,7
8,4
9,10
10,10
11,0
12,1
13,2
14,11
15,7
16,10
17,6
18,3
19,10
20,6
21,1
22,2
23,11
24,2
25,11
26,5
27,7
28,0
29,10
30,0
31,5
32,8
33,9
34,7
35,11
36,0
37,3
38,0
39,5
40,10
41,6
42,10
43,8
44,2
45,6
46,8
47,2
48,10
49,5
50,9
51,6
52,4
53,8
54,1
55,4
56,11
57,5
58,1
59,6
60,2
61,1
62,7
63,0
64,9
65,3
66,11
67,10
68,6
69,0
70,0
71,4
72,4
73,11
74,4
75,2
76,10
77,4
78,2
79,5
80,10
81,5
82,5
83,2
84,9
85,11
86,10
87,1
88,6
89,6
90,5
91,6
92,8
93,9
94,10
95,9
96,5
97,0
98,6
99,9
100,4
101,3
102,10
103,5
104,11
105,8
106,5
107,5
108,5
109,6
110,8
111,5
112,0
113,6
114,11
115,9
116,6
117,2
118,3
119,2
120,7
121,4
122,2
123,0
124,5
125,2
126,10
127,0
128,1
129,2
130,5
131,3
132,6
133,5
134,2
135,7
136,8
137,1
138,10
139,5
140,0
141,2
142,5
143,11
144,11
145,10
146,7
147,10
148,1
149,8
150,2
151,10
152,2
153,5
154,1
155,4
156,9
157,9
158,6
159,5
160,11
161,10
162,4
163,2
164,2
165,2
166,1
167,2
168,4
169,2
170,0
171,9
172,5
173,3
174,10
175,5
176,9
177,7
178,8
179,7
180,6
181,6
182,5
183,0
184,0
185,1
186,7
187,6
188,7
189,6
190,4
191,6
192,8
193,8
194,1
195,11
196,10
197,8
198,7
199,5
200,8
201,1
202,0
203,8
204,5
205,5
206,1
207,4
208,4
209,1
210,0
211,2
212,2
213,8
214,2
215,1
216,9
217,0
218,1
219,5
220,0
221,9
222,5
223,1
224,9
225,5
226,3
227,1
228,9
229,8
230,5
231,5
232,2
233,5
234,0
235,1
236,10
237,0
238,6
239,10
240,11
241,5
242,10
243,5
244,4
245,10
246,11
247,4
248,1
249,9
250,8
251,5
252,4
253,5
254,5
255,11
256,6
257,4
258,4
259,4
260,1
261,9
262,10
263,4
264,3
265,9
266,1
267,2
268,10
269,0
270,8
271,2
272,4
273,6
274,5
275,5
276,10
277,9
278,9
279,4
280,6
281,4
282,1
283,1
284,0
285,2
286,6
287,0
288,1
289,8
290,9
291,8
292,6
293,4
294,2
295,6
296,9
297,11
298,0
299,1
300,2
301,9
302,5
303,5
304,3
305,8
306,9
307,10
308,11
309,2
310,3
311,4
312,3
313,0
314,0
315,9
316,11
317,2
318,10
319,10
320,10
321,4
322,10
323,9
324,5
325,0
326,3
327,2
328,2
329,4
330,11
331,2
332,7
333,10
334,2
335,5
336,0
337,6
338,4
339,10
340,4
341,5
342,1
343,6
344,5
345,6
346,1
347,10
348,5
349,10
350,1
351,8
352,0
353,5
354,4
355,5
356,8
357,5
358,10
359,8
360,0
361,7
362,6
363,2
364,0
365,8
366,11
367,5
368,9
369,2
370,10
371,10
372,8
373,10
374,6
375,6
376,9
377,1
378,11
379,1
380,2
381,8
382,10
383,10
384,7
385,11
386,6
387,9
388,5
389,8
390,0
391,9
392,10
393,11
394,5
395,9
396,9
397,5
398,3
399,4
400,8
401,0
402,6
403,4
404,4
405,8
406,7
407,7
408,10
409,8
410,9
411,0
412,2
413,10
414,11
415,8
416,8
417,3
418,4
419,1
420,8
421,6
422,11
423,2
424,6
425,8
426,7
427,0
428,6
429,7
430,2
431,0
432,10
433,8
434,2
435,6
436,5
437,11
438,9
439,5
440,10
441,10
442,2
443,6
444,3
445,1
446,11
447,8
448,10
449,1
450,1
451,11
452,1
453,10
454,2
455,4
456,0
457,3
458,0
459,5
460,6
461,1
462,5
463,11
464,11
465,9
466,5
467,0
468,4
469,10
470,1
471,7
472,0
473,0
474,5
475,2
476,8
477,5
478,10
479,10
480,8
481,8
482,10
483,9
484,10
485,10
486,4
487,4
488,11
489,4
490,1
491,9
492,10
493,8
494,11
495,4
496,6
497,4
498,5
499,2
500,5
501,8
502,2
503,10
504,5
505,11
506,6
507,0
508,4
509,2
510,5
511,6
512,10
513,9
514,0
515,5
516,6
517,11
518,7
519,5
520,10
521,9
522,9
523,1
524,5
525,2
526,10
527,2
528,5
529,11
530,6
531,0
532,8
533,5
534,6
535,1
536,2
537,10
538,5
539,1
540,1
541,2
542,8
543,8
544,1
545,8
546,5
547,1
548,7
549,3
550,0
551,9
552,0
553,6
554,5
555,8
556,8
557,1
558,6
559,8
560,2
561,4
562,6
563,4
