row,cluster
0,7
1,1
2,10
3,1
4,6
5,7
6,5
7,1
8,11
9,7
10,7
11,9
12,10
13,6
14,4
15,1
16,7
17,0
18,1
19,7
20,0
21,10
22,6
23,4
24,6
25,4
26,5
27,1
28,9
29,7
30,5
31,3
32,2
33,8
34,1
35,4
36,9
37,1
38,9
39,5
40,7
41,0
42,7
43,2
44,6
45,0
46,2
47,6
48,7
49,3
50,8
51,0
52,11
53,2
54,10
55,11
56,4
57,5
58,10
59,0
60,6
61,10
62,1
63,9
64,8
65,1
66,4
67,7
68,0
69,9
70,9
71,11
72,11
73,4
74,11
75,6
76,7
77,11
78,6
79,3
80,7
81,5
82,5
83,6
84,8
85,4
86,7
87,10
88,0
89,0
90,3
91,0
92,2
93,8
94,7
95,8
96,5
97,9
98,0
99,8
100,11
101,1
102,7
103,5
104,4
105,2
106,3
107,5
108,5
109,0
110,2
111,3
112,9
113,0
114,4
115,8
116,0
117,6
118,1
119,6
120,1
121,11
122,6
123,9
124,3
125,6
126,7
127,9
128,10
129,6
130,5
131,1
132,0
133,3
134,6
135,1
136,2
137,10
138,7
139,5
140,9
141,6
142,5
143,4
144,4
145,7
146,1
147,7
148,10
149,2
150,6
151,7
152,6
153,3
154,10
155,11
156,8
157,8
158,0
159,5
160,4
161,7
162,11
163,6
164,6
165,6
166,10
167,6
168,11
169,6
170,9
171,8
172,5
173,1
174,7
175,5
176,8
177,1
178,2
179,1
180,0
181,0
182,3
183,9
184,9
185,10
186,1
187,0
188,1
189,0
190,11
191,0
192,2
193,2
194,10
195,4
196,7
197,2
198,10
199,5
200,2
201,10
202,9
203,2
204,5
205,5
206,10
207,11
208,11
209,10
210,9
211,6
212,6
213,2
214,6
215,10
216,8
217,9
218,10
219,5
220,9
221,8
222,3
223,10
224,8
225,5
226,1
227,10
228,8
229,2
230,3
231,5
232,6
233,3
234,9
235,10
236,7
237,9
238,0
239,7
240,4
241,3
242,7
243,5
244,11
245,7
246,4
247,11
248,10
249,8
250,2
251,5
252,11
253,3
254,3
255,4
256,0
257,11
258,11
259,11
260,10
261,8
262,7
263,11
264,1
265,8
266,10
267,6
268,7
269,9
270,2
271,6
272,11
273,0
274,5
275,3
276,7
277,8
278,8
279,11
280,0
281,11
282,10
283,10
284,9
285,6
286,0
287,9
288,10
289,2
290,5
291,2
292,0
293,11
294,6
295,0
296,8
297,4
298,9
299,10
300,6
301,8
302,3
303,5
304,1
305,2
306,8
307,7
308,4
309,6
310,1
311,11
312,1
313,9
314,9
315,8
316,4
317,6
318,7
319,7
320,7
321,11
322,7
323,8
324,5
325,9
326,1
327,6
328,6
329,11
330,4
331,6
332,1
333,7
334,6
335,5
336,9
337,0
338,11
339,7
340,11
341,5
342,10
343,0
344,5
345,3
346,10
347,7
348,5
349,7
350,10
351,2
352,9
353,5
354,11
355,5
356,2
357,5
358,7
359,2
360,9
361,1
362,0
363,6
364,9
365,2
366,4
367,5
368,8
369,6
370,7
371,7
372,2
373,7
374,0
375,0
376,5
377,10
378,4
379,10
380,6
381,2
382,7
383,7
384,1
385,4
386,0
387,8
388,3
389,2
390,5
391,8
392,7
393,4
394,5
395,8
396,8
397,3
398,1
399,11
400,2
401,9
402,0
403,11
404,11
405,2
406,1
407,1
408,7
409,2
410,8
411,9
412,6
413,7
414,4
415,2
416,2
417,1
418,11
419,10
420,2
421,0
422,4
423,6
424,0
425,2
426,1
427,9
428,0
429,1
430,6
431,9
432,7
433,2
434,6
435,0
436,0
437,4
438,8
439,5
440,7
441,7
442,6
443,0
444,1
445,10
446,4
447,2
448,7
449,10
450,10
451,4
452,10
453,7
454,6
455,11
456,9
457,1
458,9
459,5
460,0
461,10
462,5
463,4
464,4
465,8
466,3
467,9
468,11
469,7
470,10
471,1
472,9
473,9
474,5
475,6
476,2
477,5
478,7
479,7
480,2
481,2
482,7
483,8
484,7
485,7
486,11
487,11
488,4
489,11
490,10
491,8
492,7
493,2
494,4
495,11
496,0
497,11
498,5
499,6
500,5
501,2
502,6
503,7
504,5
505,4
506,0
507,9
508,11
509,6
510,5
511,0
512,7
513,8
514,9
515,5
516,0
517,4
518,1
519,5
520,7
521,8
522,8
523,10
524,3
525,6
526,7
527,6
528,3
529,4
530,0
531,9
532,2
533,5
534,0
535,10
536,6
537,7
538,5
539,10
540,10
541,6
542,2
543,2
544,10
545,2
546,5
547,10
548,1
549,1
550,9
551,8
552,9
553,0
554,5
555,2
556,2
557,10
558,0
559,2
560,6
561,11
562,0
563,11
564,9
565,1
566,10
567,9
568,5
569,9
570,2
571,8
572,8
573,11
574,8
575,3
576,8
577,8
578,8
579,3
580,6
581,4
582,1
583,4
584,9
585,5
586,0
587,7
588,9
589,9
590,9
591,7
592,11
593,9
594,0
595,2
596,2
597,2
598,7
599,7
600,2
601,8
602,1
603,7
604,1
605,5
606,2
607,2
608,2
609,3
610,7
611,5
612,11
613,6
614,10
615,0
616,9
617,10
618,1
619,10
620,9
621,3
622,11
623,7
624,11
625,4
626,10
627,5
628,10
629,11
630,0
631,2
632,6
633,1
634,5
635,8
636,1
637,6
638,7
639,8
640,8
641,0
642,8
643,8
644,0
645,0
646,5
647,6
648,0
649,6
650,4
651,10
652,9
653,4
654,10
655,0
656,10
657,6
658,1
659,5
660,8
661,6
662,5
663,7
664,5
665,7
666,0
667,4
668,0
669,1
670,7
671,7
672,1
673,9
674,2
675,5
676,6
677,2
678,7
679,2
680,11
681,5
682,7
683,2
684,6
685,9
686,10
687,7
688,5
689,6
690,7
691,7
692,5
693,4
694,6
695,8
696,4
697,6
698,5
699,8
700,7
701,10
702,6
703,9
704,0
705,10
706,1
707,8
708,0
709,3
710,0
711,6
712,1
713,11
714,3
715,10
716,2
717,8
718,11
719,9
720,2
721,7
722,7
723,1
724,5
725,5
726,5
727,7
728,7
729,6
730,11
731,2
732,2
733,7
734,6
735,7
736,9
737,6
738,1
739,8
740,5
741,1
742,6
743,4
744,2
745,9
746,4
747,9
748,0
749,5
750,6
751,6
752,8
753,2
754,3
755,9
756,4
757,0
758,4
759,0
760,5
761,10
762,11
763,3
764,9
765,2
766,1
767,5
768,6
769,7
770,7
771,5
772,9
773,5
774,3
775,8
776,9
777,9
778,3
779,6
780,5
781,0
782,7
783,10
784,10
785,8
786,5
787,7
788,8
789,9
790,5
791,11
792,1
793,9
794,1
795,3
796,1
797,11
798,10
799,4
800,5
801,10
802,7
803,11
804,7
805,11
806,6
807,10
808,0
809,2
810,4
811,6
812,9
813,5
814,9
815,3
816,0
817,5
818,6
819,9
820,8
821,6
822,2
823,6
824,5
825,9
826,4
827,4
828,6
829,4
830,9
831,3
832,8
833,9
834,0
835,9
836,10
837,10
838,5
839,4
840,2
841,10
842,1
843,7
844,8
845,6
846,0
847,0
848,11
849,6
850,2
851,7
852,0
853,9
854,8
855,7
856,10
857,1
858,0
859,8
860,5
861,0
862,1
863,10
864,2
865,8
866,9
867,0
868,7
869,7
870,11
871,8
872,6
873,1
874,5
875,5
876,0
877,10
878,5
879,1
880,4
881,7
882,11
883,3
884,5
885,3
886,0
887,5
888,10
889,9
890,5
891,10
892,6
893,7
894,9
895,0
896,1
897,5
898,7
899,2
900,6
901,4
902,0
903,10
904,4
905,5
906,1
907,3
908,4
909,7
910,2
911,8
912,0
913,2
914,9
915,10
916,11
917,4
918,3
919,2
920,9
921,9
922,8
923,4
924,10
925,10
926,11
927,1
928,8
929,2
930,1
931,2
932,11
933,7
934,4
935,1
936,0
937,8
938,9
939,4
940,2
941,2
942,3
943,5
944,11
945,0
946,4
947,7
948,5
949,11
950,2
951,6
952,1
953,0
954,10
955,8
956,11
957,0
958,6
959,10
960,7
961,6
962,2
963,6
964,9
965,9
966,5
967,4
968,7
969,8
970,8
971,1
972,5
973,2
974,11
975,10
976,8
977,9
978,7
979,7
980,7
981,9
982,4
983,11
984,2
985,7
986,6
987,8
988,8
989,6
990,2
991,7
992,4
993,9
994,4
995,0
996,7
997,0
998,1
999,10
1000,4
1001,4
1002,3
1003,9
1004,9
1005,6
1006,4
1007,4
1008,2
1009,6
1010,5
1011,6
1012,6
1013,0
1014,6
1015,10
1016,3
1017,9
1018,6
1019,5
1020,9
1021,10
1022,5
1023,5
1024,8
1025,6
1026,8
1027,11
1028,11
1029,2
1030,9
1031,5
1032,0
1033,8
1034,10
1035,11
1036,11
1037,4
1038,5
1039,11
1040,2
1041,0
1042,8
1043,7
1044,1
1045,6
1046,9
1047,2
1048,1
1049,6
1050,6
1051,6
1052,5
1053,10
1054,10
1055,10
1056,8
1057,3
1058,4
1059,0
1060,2
1061,8
1062,7
1063,5
1064,6
1065,9
1066,9
1067,6
1068,1
1069,0
1070,5
1071,6
1072,9
1073,9
1074,5
1075,9
1076,2
1077,8
1078,5
1079,4
1080,8
1081,5
1082,8
1083,5
1084,7
1085,6
1086,4
1087,9
1088,9
1089,7
1090,5
1091,8
1092,5
1093,10
1094,8
1095,7
1096,2
1097,7
1098,5
1099,8
1100,11
1101,4
1102,10
1103,4
1104,1
1105,3
1106,7
1107,8
1108,2
1109,1
1110,4
1111,9
1112,5
1113,9
1114,7
1115,8
1116,11
1117,5
1118,5
1119,10
1120,2
1121,6
1122,10
1123,2
1124,2
1125,0
1126,10
1127,7
1128,1
1129,11
1130,8
1131,8
1132,4
1133,2
1134,0
1135,4
1136,10
1137,5
1138,10
1139,1
1140,3
1141,7
1142,2
1143,0
1144,5
1145,9
1146,2
1147,9
1148,6
1149,6
1150,4
1151,2
1152,6
1153,5
1154,0
1155,8
1156,11
1157,1
1158,10
1159,1
1160,9
1161,4
1162,4
1163,7
1164,0
1165,7
1166,7
1167,7
1168,8
1169,10
1170,5
1171,7
1172,9
1173,3
1174,10
1175,2
1176,8
1177,9
1178,0
1179,3
1180,7
1181,10
1182,6
1183,10
1184,11
1185,8
1186,5
1187,10
1188,7
1189,6
1190,4
1191,1
1192,1
1193,3
1194,8
1195,9
1196,6
1197,6
1198,11
1199,10
1200,4
1201,0
1202,10
1203,7
1204,10
1205,0
1206,10
1207,2
1208,1
1209,4
1210,9
1211,8
1212,4
1213,8
1214,5
1215,7
1216,6
1217,5
1218,2
1219,5
1220,6
1221,5
1222,7
1223,0
1224,1
1225,3
1226,1
1227,3
1228,7
1229,2
1230,7
1231,5
1232,4
1233,6
1234,7
1235,4
1236,6
1237,3
1238,8
1239,6
1240,5
1241,9
1242,8
1243,8
1244,5
1245,2
1246,11
1247,5
1248,4
1249,8
1250,4
1251,3
1252,4
1253,11
1254,6
1255,0
1256,5
1257,7
1258,5
1259,10
1260,5
1261,2
1262,7
1263,11
1264,6
1265,7
1266,3
1267,4
1268,11
1269,1
1270,0
1271,3
1272,4
1273,2
1274,1
1275,7
1276,2
1277,3
1278,4
1279,7
1280,2
1281,6
1282,7
1283,11
1284,1
1285,0
1286,1
1287,9
1288,0
1289,8
1290,0
1291,6
1292,7
1293,11
1294,8
1295,11
1296,6
1297,4
1298,2
1299,2
1300,4
1301,4
1302,9
1303,7
1304,2
1305,4
1306,2
1307,6
1308,10
1309,7
1310,7
1311,5
1312,9
1313,4
1314,10
1315,0
1316,7
1317,7
1318,3
1319,11
1320,6
1321,1
1322,8
1323,8
1324,9
1325,4
1326,10
1327,6
1328,9
1329,7
1330,7
1331,1
1332,10
1333,5
1334,9
1335,8
1336,1
1337,10
1338,7
1339,7
1340,6
1341,5
1342,10
1343,6
1344,4
1345,6
1346,9
1347,7
1348,5
1349,8
1350,4
1351,6
1352,1
1353,6
1354,4
1355,7
1356,6
1357,9
1358,4
1359,8
1360,2
1361,3
1362,5
1363,10
1364,1
1365,6
1366,7
1367,5
1368,6
1369,8
1370,7
1371,6
1372,5
1373,2
1374,2
1375,11
1376,11
1377,10
1378,10
1379,1
1380,6
1381,11
1382,8
1383,8
1384,3
1385,11
1386,10
1387,6
1388,2
1389,7
1390,9
1391,1
1392,5
1393,10
1394,2
1395,8
1396,6
1397,1
1398,0
1399,9
1400,11
1401,3
1402,2
1403,5
1404,2
1405,7
1406,2
1407,11
1408,5
1409,1
1410,8
1411,6
1412,8
1413,9
1414,10
1415,10
1416,1
1417,6
1418,7
1419,7
1420,5
1421,3
1422,5
1423,7
1424,2
1425,6
1426,10
1427,4
1428,8
1429,4
1430,7
1431,6
1432,4
1433,7
1434,4
1435,9
1436,7
1437,11
1438,6
1439,0
1440,0
1441,2
1442,4
1443,4
1444,4
1445,9
1446,1
1447,0
1448,5
1449,5
1450,8
1451,11
1452,7
1453,11
1454,4
1455,10
1456,11
1457,6
1458,5
1459,0
1460,2
1461,9
1462,8
1463,1
1464,8
1465,2
1466,11
1467,0
1468,1
1469,4
1470,9
1471,10
1472,11
1473,9
1474,7
1475,6
1476,8
1477,8
1478,9
1479,4
1480,11
1481,4
1482,9
1483,2
1484,10
1485,10
1486,10
1487,9
1488,3
1489,6
1490,7
1491,9
1492,9
1493,0
1494,9
1495,6
1496,6
1497,2
1498,6
1499,9
1500,2
1501,7
1502,9
1503,1
1504,9
1505,6
1506,0
1507,8
1508,2
1509,1
1510,11
1511,6
1512,1
1513,3
1514,0
1515,7
1516,6
1517,1
1518,5
1519,7
1520,8
1521,2
1522,9
1523,1
1524,7
1525,4
1526,8
1527,11
1528,6
1529,11
1530,10
1531,11
1532,10
1533,7
1534,6
1535,11
1536,1
1537,4
1538,0
1539,3
1540,2
1541,3
1542,8
1543,6
1544,1
1545,9
1546,10
1547,0
1548,2
1549,1
1550,0
1551,9
1552,11
1553,8
1554,3
1555,2
1556,6
1557,10
1558,8
1559,6
1560,6
1561,1
1562,2
1563,5
1564,2
1565,7
1566,2
1567,4
1568,7
1569,9
1570,5
1571,6
1572,10
1573,1
1574,10
1575,0
1576,10
1577,6
1578,8
1579,4
1580,2
1581,2
1582,9
1583,9
1584,1
1585,3
1586,9
1587,6
1588,8
1589,11
1590,1
1591,1
1592,10
1593,0
1594,5
1595,0
1596,1
1597,5
1598,2
1599,4
1600,5
1601,5
1602,6
1603,4
1604,9
1605,3
1606,2
1607,9
1608,6
1609,4
1610,1
1611,2
1612,5
1613,1
1614,10
1615,9
1616,7
1617,9
1618,11
1619,6
1620,1
1621,11
1622,4
1623,4
1624,11
1625,3
1626,9
1627,10
1628,8
1629,9
1630,10
1631,11
1632,9
1633,6
1634,3
1635,0
1636,8
1637,7
1638,9
1639,1
1640,2
1641,0
1642,5
1643,0
1644,5
1645,5
1646,10
1647,3
1648,8
1649,11
1650,1
1651,7
1652,5
1653,2
1654,2
1655,10
1656,8
1657,5
1658,3
1659,4
1660,4
1661,10
1662,4
1663,7
1664,1
1665,1
1666,6
1667,7
1668,0
1669,8
1670,10
1671,5
1672,7
1673,8
1674,6
1675,4
1676,5
1677,7
1678,9
1679,3
1680,2
1681,11
1682,1
1683,10
1684,1
1685,2
1686,5
1687,7
1688,7
1689,11
1690,8
1691,0
1692,5
1693,11
1694,2
1695,10
1696,9
1697,7
1698,6
1699,5
1700,1
1701,0
1702,7
1703,3
1704,11
1705,7
1706,10
1707,10
1708,1
1709,5
1710,7
1711,6
1712,0
1713,6
1714,4
1715,10
1716,10
1717,11
1718,5
1719,4
1720,4
1721,9
1722,9
1723,7
1724,11
1725,9
1726,5
1727,1
1728,5
1729,1
1730,1
1731,2
1732,2
1733,2
1734,1
1735,2
1736,0
1737,9
1738,7
1739,7
1740,4
1741,9
1742,6
1743,6
1744,7
1745,2
1746,9
1747,2
1748,0
1749,0
1750,7
1751,3
1752,9
1753,11
1754,6
1755,11
1756,6
1757,7
1758,5
1759,4
1760,7
1761,5
1762,10
1763,9
1764,8
1765,3
1766,10
1767,4
1768,4
1769,9
1770,6
1771,7
1772,6
1773,7
1774,6
1775,10
1776,6
1777,9
1778,9
1779,1
1780,3
1781,2
1782,1
1783,1
1784,10
1785,7
1786,5
1787,1
1788,3
1789,7
1790,7
1791,11
1792,10
1793,7
1794,9
1795,1
1796,2
1797,10
1798,4
1799,11
1800,3
1801,1
1802,7
1803,6
1804,5
1805,6
1806,5
1807,1
1808,8
1809,9
1810,4
1811,3
1812,8
1813,7
1814,11
1815,11
1816,1
1817,8
1818,3
1819,6
1820,4
1821,8
1822,8
1823,4
1824,10
1825,2
1826,9
1827,1
1828,1
1829,1
1830,8
1831,6
1832,6
1833,2
1834,1
1835,0
1836,1
1837,6
1838,4
1839,3
1840,0
1841,11
1842,8
1843,6
1844,8
1845,9
1846,11
1847,0
1848,6
1849,11
1850,5
1851,9
1852,4
1853,8
1854,11
1855,1
1856,0
1857,7
1858,7
1859,2
1860,0
1861,3
1862,2
1863,8
1864,5
1865,9
1866,9
1867,6
1868,9
1869,10
1870,10
1871,7
1872,3
1873,1
1874,3
1875,7
1876,4
1877,10
1878,11
1879,0
1880,4
1881,7
1882,7
1883,1
1884,5
1885,7
1886,2
1887,4
1888,4
1889,7
1890,2
1891,7
1892,10
1893,10
1894,6
