row,cluster
0,0
1,8
2,11
3,8
4,10
5,0
6,9
7,8
8,10
9,0
10,0
11,5
12,11
13,10
14,4
15,8
16,0
17,7
18,8
19,0
20,7
21,11
22,10
23,4
24,10
25,4
26,9
27,8
28,5
29,0
30,9
31,6
32,1
33,2
34,8
35,4
36,5
37,8
38,5
39,9
40,0
41,7
42,0
43,1
44,2
45,7
46,1
47,10
48,0
49,6
50,2
51,7
52,10
53,1
54,11
55,10
56,4
57,9
58,11
59,7
60,10
61,11
62,8
63,5
64,2
65,8
66,4
67,0
68,6
69,5
70,5
71,10
72,10
73,4
74,10
75,1
76,0
77,10
78,10
79,3
80,0
81,9
82,9
83,10
84,2
85,4
86,0
87,11
88,7
89,7
90,3
91,6
92,1
93,2
94,0
95,2
96,9
97,5
98,6
99,2
100,10
101,8
102,0
103,9
104,4
105,1
106,3
107,9
108,9
109,6
110,1
111,6
112,5
113,6
114,7
115,2
116,7
117,1
118,8
119,10
120,8
121,10
122,10
123,5
124,3
125,10
126,0
127,5
128,11
129,11
130,9
131,8
132,7
133,3
134,10
135,8
136,1
137,11
138,0
139,9
140,5
141,10
142,9
143,4
144,4
145,0
146,8
147,0
148,11
149,1
150,10
151,0
152,10
153,6
154,11
155,10
156,2
157,2
158,6
159,9
160,4
161,0
162,10
163,10
164,10
165,10
166,11
167,10
168,10
169,10
170,5
171,2
172,9
173,8
174,0
175,9
176,2
177,8
178,1
179,8
180,7
181,7
182,3
183,5
184,5
185,11
186,8
187,7
188,8
189,7
190,10
191,7
192,1
193,1
194,11
195,4
196,0
197,1
198,11
199,9
200,1
201,11
202,5
203,1
204,9
205,9
206,11
207,10
208,10
209,11
210,5
211,11
212,10
213,1
214,10
215,11
216,2
217,5
218,11
219,9
220,5
221,2
222,3
223,11
224,2
225,9
226,8
227,11
228,2
229,1
230,3
231,9
232,10
233,3
234,5
235,11
236,0
237,5
238,6
239,0
240,4
241,3
242,0
243,9
244,10
245,0
246,4
247,10
248,11
249,2
250,1
251,9
252,10
253,3
254,3
255,4
256,6
257,10
258,10
259,10
260,11
261,2
262,0
263,10
264,8
265,2
266,11
267,10
268,0
269,5
270,1
271,10
272,10
273,6
274,9
275,3
276,0
277,2
278,2
279,10
280,7
281,10
282,11
283,11
284,5
285,10
286,7
287,5
288,11
289,1
290,9
291,1
292,7
293,10
294,10
295,7
296,2
297,4
298,5
299,11
300,10
301,2
302,3
303,9
304,8
305,1
306,2
307,0
308,4
309,10
310,8
311,10
312,8
313,5
314,5
315,2
316,4
317,10
318,0
319,0
320,0
321,10
322,0
323,2
324,9
325,7
326,8
327,10
328,10
329,10
330,4
331,10
332,8
333,0
334,1
335,9
336,5
337,7
338,10
339,0
340,10
341,9
342,11
343,6
344,9
345,6
346,11
347,0
348,9
349,0
350,11
351,1
352,5
353,9
354,10
355,9
356,1
357,9
358,0
359,1
360,5
361,8
362,7
363,2
364,5
365,1
366,4
367,9
368,2
369,10
370,0
371,0
372,1
373,0
374,7
375,7
376,9
377,11
378,4
379,11
380,11
381,1
382,0
383,0
384,8
385,4
386,7
387,2
388,3
389,1
390,9
391,2
392,0
393,4
394,9
395,2
396,2
397,3
398,8
399,10
400,1
401,5
402,7
403,10
404,10
405,1
406,8
407,8
408,0
409,1
410,2
411,5
412,10
413,0
414,4
415,1
416,1
417,8
418,10
419,11
420,1
421,7
422,4
423,10
424,7
425,1
426,8
427,5
428,7
429,8
430,10
431,5
432,0
433,1
434,10
435,6
436,6
437,4
438,2
439,9
440,0
441,0
442,10
443,7
444,8
445,11
446,4
447,1
448,0
449,11
450,11
451,4
452,11
453,0
454,10
455,10
456,5
457,8
458,5
459,9
460,6
461,11
462,9
463,4
464,4
465,2
466,3
467,5
468,10
469,0
470,11
471,8
472,5
473,5
474,9
475,10
476,1
477,9
478,0
479,0
480,1
481,1
482,0
483,2
484,0
485,0
486,10
487,10
488,4
489,10
490,11
491,2
492,0
493,1
494,4
495,10
496,7
497,10
498,9
499,11
500,9
501,1
502,10
503,0
504,9
505,4
506,7
507,5
508,10
509,10
510,9
511,7
512,0
513,2
514,5
515,9
516,6
517,4
518,8
519,9
520,0
521,2
522,2
523,11
524,3
525,10
526,0
527,10
528,3
529,4
530,7
531,5
532,1
533,9
534,7
535,11
536,10
537,0
538,9
539,11
540,11
541,10
542,1
543,1
544,11
545,1
546,9
547,11
548,8
549,8
550,5
551,2
552,5
553,7
554,9
555,1
556,1
557,11
558,7
559,1
560,1
561,10
562,6
563,10
564,5
565,8
566,11
567,5
568,9
569,5
570,1
571,2
572,2
573,10
574,2
575,3
576,2
577,2
578,2
579,3
580,2
581,4
582,8
583,4
584,5
585,9
586,6
587,0
588,5
589,5
590,5
591,0
592,10
593,5
594,7
595,1
596,1
597,1
598,0
599,0
600,1
601,2
602,8
603,0
604,8
605,9
606,1
607,1
608,1
609,3
